Score,Episodes,Duration_format,Genre_format,Name_format,Type_format,Source_format,similarity
7,13,26,13,1654,0,1,0.9999924740778954
8,24,24,18,2562,0,3,0.9999921580271124
7,12,24,18,2507,0,1,0.9999921010084101
7,13,24,12,2524,0,3,0.9999920935912405
8,24,24,18,2423,0,3,0.9999920392716747
5,23,25,18,2554,0,1,0.999991981655807
7,13,23,18,2457,0,0,0.9999918467664448
6,12,23,18,1730,0,3,0.9999917289007048
7,11,22,8,2170,0,3,0.9999915921500918
8,24,24,18,2512,0,1,0.9999915532872165
7,12,25,18,2672,0,3,0.9999914205387541
7,12,24,18,2560,0,1,0.9999913269085494
6,12,23,18,2448,0,1,0.9999912992871081
6,22,23,18,2408,0,0,0.9999910195944238
8,24,23,18,2427,0,3,0.9999909436651686
8,24,24,18,2342,0,1,0.9999909090191482
5,23,25,10,2279,0,3,0.9999907150831131
6,12,24,18,2611,0,3,0.9999906874103089
7,25,25,18,2675,0,0,0.9999905845934121
9,24,24,13,2705,0,3,0.99999048320291
6,24,24,18,2385,0,1,0.9999904677712087
6,12,24,10,2459,0,3,0.9999904492827395
8,24,23,18,2676,0,3,0.9999904000945146
7,13,25,18,1753,0,1,0.9999903281845184
7,12,23,7,2258,0,3,0.9999902471798173
8,13,24,18,2696,2,1,0.9999901619778333
6,25,46,18,2894,0,1,0.9999901232822099
6,12,25,10,1498,0,3,0.9999900870882893
7,25,25,18,2805,0,0,0.9999899838761434
7,13,24,8,1487,0,4,0.999989852154534
7,21,24,18,2853,0,0,0.9999898269090673
7,13,24,18,2712,0,1,0.9999897938049295
8,25,24,18,2790,0,1,0.9999897036770738
8,22,22,12,2531,0,1,0.9999893371508416
7,13,25,8,1518,0,3,0.9999893253386648
8,22,24,18,2932,0,0,0.9999891371373825
8,12,26,21,2895,0,3,0.9999891271865515
7,23,23,18,2152,0,1,0.9999891260497482
7,13,23,10,2476,0,0,0.9999889859206369
6,13,24,18,2730,0,1,0.9999889733219142
8,12,22,10,1385,0,0,0.9999889569474868
7,24,24,18,2966,0,3,0.9999888962662257
7,12,24,18,2720,0,1,0.9999887804996096
8,24,23,18,2816,0,1,0.9999887007041636
8,25,25,13,2899,0,2,0.999988694700263
6,25,24,18,2803,0,1,0.9999886769404731
6,12,25,8,1479,0,3,0.9999884821565374
7,24,23,18,2179,0,3,0.9999884367534988
7,26,24,13,2673,0,3,0.9999883855624553
6,12,25,18,2796,0,1,0.9999882526827543
7,24,24,18,3027,0,3,0.9999882113779686
7,12,23,18,2711,0,3,0.999988208783152
7,11,22,8,2302,0,1,0.9999881150695541
7,26,23,18,2703,0,2,0.9999879229045964
8,26,25,18,3049,2,0,0.9999877147863381
6,12,30,18,3134,0,0,0.9999876816614636
7,13,24,18,2875,0,3,0.9999876802764401
8,24,24,18,2127,0,1,0.999987551993193
7,26,26,18,2261,0,1,0.9999874059705471
7,27,24,18,2425,0,3,0.9999873971091089
6,6,27,10,2253,2,3,0.9999873965199914
7,13,24,18,2830,0,0,0.9999873089443259
7,13,24,18,2860,0,1,0.999987300808781
8,12,23,8,2485,0,3,0.9999872699135027
7,25,25,18,3118,0,0,0.9999872010868581
6,26,24,18,2841,0,0,0.9999871916168026
8,25,24,10,2233,0,1,0.9999871891230935
8,6,18,13,1731,4,0,0.999986959352719
8,26,24,18,2252,0,3,0.9999869259562609
8,11,22,8,2341,0,0,0.9999869131196231
6,26,24,18,2378,0,0,0.9999868845551435
7,25,23,18,2232,0,1,0.9999868151224364
7,24,24,18,3097,0,1,0.9999867515060077
8,26,23,18,2904,0,1,0.9999867458276451
5,24,23,10,2519,0,3,0.9999866623997165
8,26,25,10,2255,0,5,0.9999866280642147
7,23,23,18,2056,0,0,0.9999864915523341
8,24,24,8,2607,0,3,0.9999863971846107
7,26,25,13,2987,0,1,0.9999863873006549
7,6,29,18,2613,2,1,0.999986345608353
7,25,23,18,3026,0,3,0.999986335504595
7,24,23,18,2081,0,3,0.9999863191177499
8,26,24,18,2230,0,2,0.9999862440346391
8,22,22,18,1989,0,0,0.9999861960549156
8,12,23,8,2509,0,1,0.9999861130877725
7,11,22,7,2331,0,1,0.9999860826213566
7,26,24,17,2248,0,0,0.9999859574817977
6,6,30,18,2108,2,1,0.9999859405822441
7,13,24,18,1662,2,0,0.9999858798595265
8,20,23,17,1791,0,1,0.9999858344159358
8,24,24,18,3208,0,1,0.9999858117523385
8,14,27,18,3275,0,1,0.999985490047916
8,11,23,18,2831,0,3,0.9999854653327228
8,25,24,18,3230,0,1,0.9999853436741133
6,25,24,18,2169,0,0,0.9999853370241994
6,26,24,11,2224,0,1,0.9999852801947365
8,26,24,26,2847,0,1,0.9999850472909112
6,12,25,8,2667,0,3,0.9999850431124575
6,23,24,26,2580,0,1,0.9999850202464425
6,25,25,8,2629,0,1,0.9999849593740334
9,12,24,18,3021,0,3,0.9999849303357755
8,26,23,18,2226,0,1,0.9999849154190664
8,26,24,18,3245,0,1,0.9999848932004081
8,25,25,18,3433,0,3,0.9999848598461156
7,25,25,18,3317,0,0,0.9999848459511844
7,3,16,10,1239,1,0,0.9999847830004707
6,13,22,18,2762,2,0,0.999984724617221
6,26,24,18,2200,0,1,0.9999845517560582
7,12,23,18,2881,0,1,0.9999845496106646
7,24,24,18,2010,0,3,0.9999845116155859
7,4,25,13,2266,2,3,0.9999844574583422
7,26,24,19,2190,0,3,0.9999844328774649
7,26,23,12,2115,0,3,0.9999843924176052
7,26,24,10,2144,0,3,0.9999843589068171
7,23,19,12,2460,0,6,0.9999843406547857
7,13,24,7,2617,0,1,0.9999842315704285
7,12,24,18,2983,0,1,0.999984206460071
7,13,24,18,3036,0,1,0.9999842063622568
7,4,28,18,2397,2,3,0.9999841996447854
8,22,23,18,3187,0,0,0.99998419255542
6,26,25,12,2105,0,1,0.9999841397326635
8,13,24,18,3102,0,3,0.9999841053198374
8,4,29,18,2311,2,1,0.9999841041519199
8,26,24,8,2523,0,1,0.9999840682811226
8,24,24,18,3350,0,1,0.999983919854915
6,12,23,13,1384,0,0,0.9999838788173435
7,26,23,18,2180,0,1,0.9999837141982639
5,5,30,18,2132,2,1,0.9999836076566414
7,26,25,18,2134,0,1,0.9999835811000055
7,26,24,10,2112,0,2,0.9999835370520581
7,25,23,10,2012,0,2,0.9999834642420767
8,25,24,18,3383,0,1,0.999983394162734
8,25,25,18,3499,0,1,0.9999833806407765
8,25,22,8,2309,0,1,0.9999833628182768
6,27,23,18,2319,0,0,0.9999832758488563
8,22,22,18,1881,0,1,0.9999832125111842
7,7,30,18,3116,2,3,0.9999830555641374
8,11,23,8,2608,0,1,0.9999830204185695
6,13,25,8,1414,0,3,0.9999830040387233
5,13,25,3,2236,0,0,0.9999829447642647
8,12,24,18,3090,0,1,0.9999827381857888
6,12,24,18,3038,0,1,0.9999826706479761
8,25,20,10,2379,0,1,0.9999825908523269
7,13,23,18,3024,0,0,0.9999824173059576
7,26,20,18,2274,0,3,0.9999823630894158
7,22,23,13,3186,0,3,0.9999823250460997
7,11,22,18,2833,0,0,0.9999823026345042
7,13,23,18,3033,0,0,0.9999822554487895
7,11,23,10,2709,0,0,0.9999822435523011
6,12,24,18,3086,0,2,0.999982172512615
7,24,23,18,3331,0,1,0.9999821113412654
7,13,28,16,3420,0,1,0.9999820912027206
8,25,25,18,3568,0,0,0.9999820342929365
5,4,27,18,2121,2,0,0.9999820143140113
7,4,28,8,2050,2,1,0.9999819988413597
7,11,24,12,2934,0,3,0.9999819142783604
7,12,24,18,3150,0,3,0.9999818325967951
7,24,24,18,3511,0,3,0.9999817930918411
9,26,22,8,2324,0,1,0.999981730129481
5,25,25,8,2914,0,1,0.9999816270639745
6,12,24,18,3137,0,3,0.9999815113245792
8,12,24,8,2768,0,0,0.9999814896735079
8,12,24,18,3167,0,1,0.999981362310336
8,25,22,13,3145,0,3,0.9999813298065372
6,12,23,18,3029,0,1,0.9999813074136795
9,13,24,8,2862,0,1,0.999981285805336
6,6,25,13,1496,2,5,0.9999812715049576
5,26,25,10,2085,0,0,0.9999812619082108
8,25,20,10,2591,0,1,0.9999812336102903
7,26,24,13,1982,0,3,0.9999811856079763
8,12,23,8,2752,0,1,0.9999809430518406
8,5,33,18,2117,2,1,0.9999809272247602
8,13,24,18,3229,0,0,0.9999807710535905
6,26,24,10,3108,0,2,0.9999807243675777
6,26,25,21,2156,0,5,0.9999807200234343
8,12,24,10,2989,0,3,0.999980420502534
7,10,24,8,2755,0,3,0.9999803438776843
7,26,23,18,3450,0,1,0.9999803012522026
6,25,24,18,3537,0,1,0.999980288939669
7,12,24,8,2867,0,3,0.9999801904650204
8,12,24,18,3211,0,0,0.9999801222022822
7,26,25,19,3800,0,5,0.9999801182269697
7,12,24,18,3223,0,1,0.9999799005075086
6,2,29,14,2215,2,1,0.9999794765605913
7,29,25,10,3261,0,2,0.9999794563243661
7,13,23,13,3066,0,0,0.9999793742163264
7,12,24,18,1525,0,3,0.9999793473103717
8,13,24,5,2727,0,1,0.9999792564950672
7,13,24,18,3316,0,1,0.9999792122588378
8,24,24,18,3685,0,1,0.9999791907909965
6,4,29,18,1941,2,1,0.9999791831025945
8,4,24,18,2494,3,0,0.9999791668081256
7,13,24,0,1863,0,3,0.9999790201139889
7,13,24,0,1859,0,3,0.9999790063974744
7,12,23,0,1857,0,3,0.999979004713661
5,26,25,19,3731,0,1,0.9999789800045059
6,12,24,18,3219,0,0,0.9999789609297137
5,24,25,10,3310,0,1,0.9999789023449762
7,14,24,0,2038,0,3,0.9999788763362698
7,12,24,0,1872,0,3,0.999978876292501
7,3,23,18,1795,0,1,0.999978798532324
7,26,24,18,2032,0,0,0.999978784891572
7,13,24,10,3095,0,3,0.9999787798429989
7,4,29,21,2882,2,0,0.9999787440537353
7,26,25,8,2011,0,1,0.9999786544053351
7,13,24,18,3349,0,1,0.9999786275029433
6,12,24,0,1825,0,3,0.9999786223049462
8,25,22,8,2935,0,1,0.9999785537929479
6,2,25,10,1675,2,1,0.9999785503617112
7,3,30,10,1998,2,0,0.9999785223811064
7,13,24,0,1959,0,1,0.9999784366565491
7,24,24,18,3705,0,1,0.9999784197789529
8,26,23,18,3675,0,3,0.9999783943066818
7,13,24,18,3365,0,1,0.9999783446254674
7,4,29,8,1774,2,3,0.9999783433809878
7,13,24,18,3385,0,2,0.9999783376878797
7,2,32,18,2733,2,1,0.9999783133817701
8,13,24,0,1855,0,1,0.9999782908418137
7,13,23,0,1954,0,1,0.9999782695625463
5,3,30,10,2313,2,0,0.9999782620288032
9,13,24,8,3015,0,1,0.9999782323867532
7,13,24,0,2022,0,1,0.999978168290887
7,25,24,4,2247,0,1,0.999978165774224
7,12,24,0,1816,0,1,0.9999781563924152
6,26,23,8,1996,0,3,0.9999781278984246
7,12,25,0,1818,0,3,0.9999781276056499
7,26,20,19,2101,0,3,0.9999779804974972
5,35,25,18,3064,0,1,0.9999779218824255
7,13,23,13,1345,0,0,0.9999778994495568
7,13,24,0,2065,0,1,0.9999778873007334
7,12,25,0,1860,0,1,0.9999778552792757
6,1,20,10,1616,3,2,0.9999778302374852
6,4,30,10,2665,2,0,0.9999778039533177
7,26,22,13,1927,0,1,0.999977790082968
7,12,25,0,1785,0,3,0.9999777809042175
6,12,25,0,2097,0,3,0.9999777601329614
7,8,23,18,2986,0,1,0.9999777579436155
7,12,23,0,1981,0,1,0.9999777570192864
7,13,24,8,1331,0,0,0.9999777555151792
8,2,29,18,2125,2,1,0.9999777439770233
8,12,24,18,3346,0,0,0.9999777388514377
7,24,24,10,1775,0,3,0.9999777234626351
7,13,24,0,1748,0,1,0.9999775784705489
8,25,24,18,1944,0,0,0.9999775507774585
7,26,23,8,3139,0,5,0.9999775176171288
7,12,25,8,3068,0,3,0.9999775050296039
7,24,24,18,1874,0,1,0.999977503637592
7,12,24,0,2063,0,1,0.9999774475926919
7,24,23,18,1871,0,1,0.9999774241799051
6,3,30,8,2049,2,1,0.9999773745060694
7,12,22,0,1969,0,1,0.9999773689399429
5,2,30,11,2216,2,1,0.9999773469109903
6,28,19,19,2656,0,0,0.999977311885182
8,25,24,18,3868,0,3,0.999977296632099
7,2,23,18,2100,2,1,0.9999772707708393
7,3,28,7,1868,2,1,0.9999772352357652
7,13,25,0,1751,0,3,0.999977234450864
7,12,25,0,1752,0,2,0.9999772236543001
8,12,24,0,2103,0,1,0.9999772004508289
8,11,23,0,1673,0,1,0.9999771400686227
7,12,24,0,2164,0,3,0.9999770712919462
7,13,23,18,3325,0,0,0.9999770153647762
7,13,24,18,3418,0,0,0.999976981454779
7,10,24,0,1768,0,1,0.9999769751890492
6,25,24,18,3750,0,0,0.9999769448723028
8,12,28,18,3794,0,3,0.9999768979770209
7,13,23,0,1647,0,1,0.9999768887209939
8,25,24,17,3824,0,1,0.9999768527113764
8,12,24,0,1708,0,1,0.9999768441957143
7,13,23,0,2118,0,1,0.9999768429590742
5,12,20,0,1831,0,1,0.9999768319515752
7,1,28,18,2330,2,3,0.9999768201466572
7,31,25,17,2312,0,1,0.9999768194259027
7,12,24,0,2129,0,1,0.9999768178597513
8,22,25,4,3071,0,3,0.9999767825463667
5,17,25,17,3632,0,1,0.9999767718592285
7,12,24,0,2139,0,1,0.9999767112799971
8,11,22,8,2806,0,0,0.9999766994977937
7,13,24,0,2192,0,1,0.9999766941456276
8,13,24,0,1707,0,1,0.9999766374309018
8,2,35,12,2440,2,1,0.9999766037081067
6,30,24,18,2257,0,2,0.9999765852487056
7,26,22,18,1987,0,1,0.9999765806596483
8,11,23,0,2047,0,1,0.9999765409626156
8,13,24,18,3496,0,1,0.9999765254795295
7,1,21,8,1778,1,1,0.9999765062800738
7,24,23,18,3770,0,3,0.9999764287361506
7,12,24,0,2166,0,1,0.9999764104338346
8,13,25,0,1750,0,1,0.9999764092269865
7,12,24,18,3395,0,0,0.9999764071762085
7,3,26,18,2713,2,0,0.9999763931454818
8,13,23,18,3387,0,0,0.9999763901899168
7,25,25,18,3948,0,0,0.999976312222046
6,2,27,21,2487,2,3,0.9999763106414072
8,13,24,0,2250,0,1,0.9999762223769555
7,1,34,18,2688,2,1,0.9999762145380808
5,12,23,0,1642,0,0,0.9999761747305658
8,26,23,10,3352,0,0,0.9999761341975922
7,1,24,10,1641,2,2,0.9999760953467702
7,24,24,18,3840,0,0,0.999976089004503
8,12,23,0,2150,0,1,0.9999760697152644
8,24,23,18,3790,0,1,0.9999760501202415
6,12,23,0,2160,0,3,0.9999760492540268
8,24,24,18,3906,0,1,0.999976012498423
6,12,24,0,2220,0,3,0.9999759999368381
8,13,23,13,3263,0,0,0.9999759687666069
5,1,24,11,1968,2,0,0.9999759271745273
7,13,24,10,3239,0,3,0.9999759232511725
7,33,24,18,3755,0,0,0.9999758829862538
7,12,25,0,2323,0,3,0.9999757920597316
8,24,23,18,3811,0,1,0.9999757479010019
7,24,24,18,3865,0,0,0.9999757317817161
7,26,25,8,1919,0,3,0.9999756985023829
8,26,24,18,2006,4,0,0.9999756704647992
7,4,30,28,2893,2,3,0.9999756639861794
8,26,24,12,1889,0,0,0.9999756637122833
6,26,24,18,3852,0,0,0.99997562787709
7,13,24,0,2284,0,1,0.9999755736255785
7,12,24,0,2283,0,3,0.9999755673461272
8,13,24,0,1653,0,1,0.9999754501573299
8,13,24,0,2362,0,3,0.999975424530481
7,12,24,0,2246,0,1,0.9999754205370983
7,13,24,0,2297,0,1,0.999975401994207
6,2,30,12,1910,2,1,0.9999753839811457
7,13,23,0,2237,0,1,0.999975330785439
7,12,23,18,3368,0,0,0.9999752778100334
7,12,24,0,2306,0,3,0.9999752462204965
7,12,23,18,3431,0,3,0.9999751956747933
5,13,24,0,2182,0,0,0.9999751928407482
7,12,23,5,2797,0,1,0.9999751487666859
5,10,40,9,3875,0,0,0.9999750958826876
7,9,16,18,2441,4,2,0.99997504170843
6,1,24,10,2086,3,1,0.9999748811394554
7,12,24,0,2332,0,3,0.9999748735308881
7,2,43,18,2845,2,2,0.9999748699257156
6,1,30,13,2084,1,0,0.9999748563968379
7,13,24,0,2338,0,1,0.9999748425174877
7,13,25,0,1667,0,1,0.9999748139989805
8,1,25,8,1980,3,3,0.9999748027567884
7,12,24,0,2337,0,3,0.9999748007580828
7,26,24,7,3248,4,1,0.9999747993855604
8,39,25,18,3443,0,1,0.9999747860135803
7,11,23,18,1446,0,1,0.9999747208286766
6,2,30,12,1882,2,1,0.9999747065043277
7,12,24,0,2299,0,1,0.9999746971526304
8,38,25,18,3050,0,1,0.9999746487089004
8,25,22,8,3227,0,1,0.9999745982255954
7,13,24,7,3096,0,1,0.9999745370096983
7,1,24,10,2090,3,0,0.9999745177992792
7,12,24,10,3262,0,3,0.9999745041420484
5,1,27,16,2481,2,1,0.9999744687749978
7,12,24,18,3512,0,0,0.9999743721698017
7,1,31,18,2906,2,1,0.9999743445644932
6,3,20,20,1988,2,1,0.999974332382172
6,12,24,0,2339,0,3,0.999974328346426
7,12,24,18,3541,0,1,0.9999742891202602
6,26,25,18,1947,0,0,0.9999742448759947
6,4,27,18,3056,2,0,0.9999741568543933
6,12,24,18,3536,0,2,0.999974152958895
7,13,24,18,3606,0,1,0.9999741509936525
5,2,26,18,1856,2,1,0.9999741244788329
7,2,26,7,1704,2,0,0.9999741100479607
6,1,30,18,2892,2,5,0.9999740889332281
7,12,24,0,1571,0,1,0.9999740631877901
7,2,23,18,1784,3,1,0.9999740456517604
6,3,30,10,1796,2,0,0.9999740375150522
8,24,25,17,4118,0,1,0.9999740191672626
5,2,30,18,2025,2,1,0.9999740100404177
7,8,15,0,1125,2,1,0.999973949731089
7,25,23,18,1879,0,0,0.9999739286149797
7,2,24,8,2280,2,1,0.9999738615567615
7,12,24,0,2357,0,1,0.9999738564208627
8,13,24,0,2390,0,0,0.9999737934925355
8,12,24,18,3600,0,1,0.9999737559461649
7,13,24,0,2422,0,1,0.9999736229763173
5,1,30,18,2718,2,0,0.9999735955761164
7,13,24,18,3676,0,3,0.9999735440458853
7,12,23,18,3493,0,1,0.9999735041034801
6,24,23,18,3869,0,0,0.9999734934879341
7,39,25,17,3127,0,3,0.9999734268882137
8,13,24,0,2456,0,1,0.9999734166183439
7,12,23,0,2321,0,1,0.9999734129843575
7,12,24,0,2387,0,1,0.9999734046790238
7,13,24,8,3220,0,1,0.9999734039042457
6,12,24,18,3599,0,3,0.9999733219059337
7,2,46,18,2996,2,1,0.9999733136861748
6,1,32,10,2285,2,1,0.9999732228023608
7,12,24,0,2399,0,1,0.9999732211545053
5,30,53,5,5620,4,1,0.9999732127208645
7,3,23,18,2655,3,0,0.9999732042531311
5,21,25,0,2461,0,1,0.9999731831712801
8,25,24,18,4126,0,1,0.99997313820932
7,2,53,18,3867,2,0,0.9999730584195706
5,26,25,18,1924,0,1,0.9999730544867989
7,12,23,10,3257,0,3,0.999973016930112
6,6,24,18,3112,0,0,0.9999729592913036
7,3,30,28,2681,2,3,0.9999729573783093
6,13,24,0,1551,0,1,0.9999729317661672
7,13,24,0,2510,0,3,0.9999729158041382
7,12,24,0,2421,0,1,0.9999728808399119
8,1,51,18,3860,1,1,0.9999728773194005
8,11,22,0,2254,0,1,0.9999727616756597
8,10,25,18,3597,0,0,0.9999727550193914
8,2,24,13,2576,3,0,0.9999727419521787
8,1,51,18,4091,3,3,0.9999726991733607
7,12,24,0,2479,0,3,0.9999726141740268
6,12,24,0,2410,0,1,0.9999725874872537
7,7,15,7,2060,4,0,0.9999725822227069
6,12,30,0,2744,0,1,0.9999725548910476
6,1,25,18,2578,3,3,0.9999725497185304
8,12,23,7,3093,0,1,0.9999725451636454
6,12,23,18,3551,0,3,0.9999725275766138
7,13,24,0,2458,0,0,0.999972501632796
8,12,24,4,2972,0,3,0.9999724855036862
8,13,24,0,2518,0,1,0.9999724700206305
6,2,29,10,2785,2,3,0.9999724693593345
5,1,24,18,1908,1,0,0.9999724576237474
7,12,25,0,2557,0,3,0.9999724338797552
8,13,24,0,2521,0,1,0.9999724233895284
8,12,24,0,2471,0,1,0.9999724067038386
8,24,23,18,4046,0,1,0.9999723898674968
5,2,45,19,3990,3,1,0.9999723693274065
5,2,45,19,3991,3,1,0.9999723626256465
5,1,38,19,3447,2,1,0.9999723087225086
8,4,25,13,2974,2,1,0.9999722900699353
8,13,24,0,2530,0,1,0.9999722830834793
7,1,49,17,3934,1,2,0.99997227090359
7,12,13,0,1352,0,1,0.9999722568420033
8,11,22,5,2832,0,1,0.999972236913029
7,24,23,18,1799,0,0,0.9999722123801569
7,13,23,18,1439,0,1,0.9999721731836739
7,12,23,18,3576,0,1,0.9999720626015343
6,12,23,10,3278,0,3,0.999972043953426
8,12,22,8,3103,0,1,0.9999719952442717
7,25,23,18,4030,0,0,0.9999719892618715
7,2,30,12,2967,2,0,0.9999719428523995
6,1,50,21,3361,2,3,0.9999719265812506
7,12,24,4,2947,0,1,0.9999719012509969
6,12,24,18,3625,0,0,0.9999718828980609
6,1,30,8,2021,2,3,0.9999718484792929
7,3,26,12,2930,2,3,0.9999718101522171
7,24,23,18,4092,0,3,0.9999718059536704
7,2,23,5,2018,3,1,0.9999717764340971
7,13,23,8,3255,0,3,0.9999717569797633
8,7,23,0,1977,2,1,0.9999717479032951
6,11,24,18,3571,0,0,0.9999717432108851
8,12,24,0,1527,0,1,0.9999717364157461
7,13,24,18,3726,0,0,0.9999717240643723
5,1,29,8,2281,2,1,0.9999716950669375
8,11,23,0,2428,0,3,0.9999716797984326
7,12,24,0,2539,0,3,0.9999716375583808
7,1,21,10,2186,3,2,0.9999716340264894
4,1,25,20,2239,2,1,0.9999716182018545
6,1,23,18,2435,2,1,0.9999716051946282
7,2,30,28,2970,2,3,0.9999715386448357
7,12,23,0,2475,0,3,0.9999715135308416
7,2,30,28,2999,2,3,0.9999715016124112
7,4,29,12,3270,2,3,0.9999714580062932
7,2,30,28,3023,2,3,0.9999714578340994
8,13,24,0,2625,0,3,0.9999714192779696
7,12,24,0,2513,0,1,0.999971412199418
5,2,45,18,2823,2,3,0.9999713971705699
8,12,24,18,3762,0,2,0.9999713521749525
7,12,24,18,3733,0,2,0.9999713520494857
7,39,24,18,3148,0,0,0.999971319658569
4,6,15,18,1478,4,0,0.999971266784761
7,12,23,10,3347,0,3,0.9999712579719151
8,25,24,18,1842,0,0,0.9999712542753816
7,1,52,21,3397,2,3,0.9999712383920656
6,12,24,0,1510,0,0,0.9999712071407815
7,26,23,18,4106,0,0,0.9999711374320363
5,1,45,18,3874,2,1,0.9999711277955847
7,12,24,20,3793,0,2,0.9999711173995312
5,20,30,5,3796,2,1,0.999971108446116
6,13,24,11,3460,0,0,0.9999711038630427
5,22,25,0,2685,0,1,0.9999710485157379
8,4,22,17,2897,2,1,0.9999710168712805
8,25,23,26,2143,0,1,0.9999709978429776
7,12,24,0,1486,0,3,0.9999709764534329
6,13,24,0,1505,0,1,0.9999709754764348
6,23,24,18,4141,0,0,0.9999709644376393
6,12,24,10,3386,0,1,0.9999709492571209
6,1,50,19,4214,1,0,0.9999709366415352
5,1,31,12,2736,5,1,0.9999708960944378
7,1,30,13,2952,1,0,0.9999708718273763
7,12,24,0,2546,0,1,0.9999708710062855
7,3,24,8,2620,2,3,0.999970853725603
5,12,24,18,1433,0,2,0.9999708290448482
7,12,24,0,2589,0,3,0.9999708075879589
7,2,30,28,3203,2,3,0.9999708050927009
6,1,30,26,2838,2,3,0.9999707941515408
5,20,25,8,3639,0,1,0.9999707553969805
7,13,24,8,3359,0,1,0.9999707469619764
7,3,29,28,2499,2,3,0.9999707267399379
6,2,30,28,2757,2,3,0.9999706398018376
7,1,22,18,2353,4,1,0.9999706097526366
7,26,25,3,2072,0,0,0.999970597558942
7,13,24,18,3818,0,1,0.999970595933207
7,5,25,28,2415,2,0,0.9999705640974379
7,11,23,8,3183,0,1,0.9999705285886463
7,1,48,18,4198,3,0,0.9999704990613016
8,12,24,18,3795,0,1,0.9999704837929709
8,13,24,0,2644,0,1,0.9999704612101249
6,13,24,18,3813,0,2,0.9999704447720027
7,12,24,0,2538,0,0,0.9999704443263641
8,12,24,10,3503,0,3,0.9999704003662413
7,24,24,0,2307,0,1,0.9999703943073321
6,2,30,28,2924,2,1,0.9999703782026825
7,2,30,28,3185,2,1,0.9999702735648195
8,12,24,18,3843,0,3,0.9999702665620445
7,2,27,4,1965,2,1,0.9999702638123606
7,3,29,28,2467,2,3,0.9999702562137787
8,1,24,8,2363,3,3,0.9999702528150237
7,12,24,18,3816,0,3,0.9999702253311735
8,24,24,0,2249,0,1,0.9999702238536452
7,12,24,0,2627,0,3,0.9999701692706052
6,1,40,23,2674,2,1,0.9999701689538777
6,1,31,7,2219,2,1,0.9999701552886255
