anime_id,name,genre,type,episodes,rating,genre_1
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,Action
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,Comedy
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,Comedy
164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1,8.81,Action
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,Comedy
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,Comedy
21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,Adventure
457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,Adventure
2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,Comedy
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,Comedy
32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76,Fantasy
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26,8.75,Comedy
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75,Adventure
11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,Fantasy
431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,Adventure
11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,Action
31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1,8.73,Action
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,Drama
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.71,Comedy
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,Supernatural
32366,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,2,8.69,Comedy
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25,8.68,Comedy
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,Comedy
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25,8.68,Comedy
4282,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68,Action
10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,Fantasy
22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11,8.67,Seinen
21329,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66,Adventure
31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,Supernatural
7785,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11,8.65,Romance
3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,Fantasy
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,Comedy
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26,8.64,Drama
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,Fantasy
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,Action
5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,Fantasy
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11,8.62,Drama
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25,8.62,Comedy
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1,8.61,Sci-Fi
10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,Drama
28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24,8.61,Shounen
32995,Yuri!!! on Ice,"Comedy, Sports",TV,12,8.61,Comedy
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,Comedy
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,Action
7472,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,Comedy
777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,Action
22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,Action
28735,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13,8.59,Drama
12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,Comedy
28805,Bakemono no Ko,"Adventure, Supernatural",Movie,1,8.58,Adventure
578,Hotaru no Haka,"Drama, Historical",Movie,1,8.58,Drama
16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25,8.58,Comedy
5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25,8.58,Comedy
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,Comedy
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,Action
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57,Comedy
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,Action
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39,8.57,Action
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,Comedy
10162,Usagi Drop,"Josei, Slice of Life",TV,11,8.56,Slice of Life
18617,Girls und Panzer der Film,"Military, School",Movie,1,8.55,School
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,Comedy
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,Comedy
2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,Comedy
24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,Adventure
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,Action
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.53,Comedy
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50,8.53,Comedy
30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53,Romance
3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1,8.53,Action
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,Sci-Fi
12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,Action
14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,Drama
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,8.51,Action
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,Action
9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,Drama
10165,Nichijou,"Comedy, School, Slice of Life",TV,26,8.52,Comedy
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,Action
22789,Barakamon,"Comedy, Slice of Life",TV,12,8.5,Comedy
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51,8.5,Comedy
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,Action
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,Drama
11917,Major: World Series,"Comedy, Drama, Sports",OVA,2,8.5,Comedy
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,Comedy
32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13,8.5,Shounen
6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,Action
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.49,Drama
7655,Major S6,"Comedy, Drama, Sports",TV,25,8.49,Comedy
2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49,Fantasy
25835,Shirobako,"Comedy, Drama",TV,24,8.49,Comedy
2921,Ashita no Joe 2,"Drama, Sports",TV,47,8.48,Drama
136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62,8.48,Action
30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,Action
12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12,8.48,Drama
523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1,8.48,Comedy
467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,Action
572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1,8.47,Adventure
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,Comedy
2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33,8.47,Adventure
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,Comedy
486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13,8.46,Action
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,8.46,Comedy
1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8.46,Comedy
5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12,8.46,Adventure
25781,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2,8.45,Action
10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1,8.46,Sci-Fi
28701,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8.45,Action
5420,Kemono no Souja Erin,"Drama, Fantasy",TV,50,8.45,Fantasy
9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1,8.45,Supernatural
32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,Sci-Fi
4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25,8.45,Comedy
2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,Adventure
2685,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8.44,Action
31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,8.43,Comedy
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,Comedy
2418,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,1,8.43,Action
1365,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,1,8.42,Adventure
22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,Action
627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26,8.42,Comedy
10937,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42,Action
23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,Action
4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42,Fantasy
4155,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.42,Comedy
1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,Supernatural
137,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8,8.41,Action
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,14,8.41,Action
23317,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,8.41,Comedy
558,Major S2,"Comedy, Drama, Shounen, Sports",TV,26,8.41,Comedy
5040,One Outs,"Psychological, Seinen, Sports",TV,25,8.41,Seinen
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,Comedy
33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,Action
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,Action
1842,Major S3,"Drama, Shounen, Sports",TV,26,8.4,Drama
6336,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,Action
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,8.4,Fantasy
1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24,8.4,Comedy
338,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40,8.4,Adventure
13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.4,Comedy
6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,8.39,Comedy
5081,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,8.39,Romance
32867,Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural",TV,12,8.39,Supernatural
264,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",Special,1,8.39,Comedy
12859,One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.39,Comedy
853,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,26,8.39,Comedy
5460,Detective Conan Movie 13: The Raven Chaser,"Action, Mystery, Police, Shounen",Movie,1,8.38,Action
6746,Durarara!!,"Action, Mystery, Supernatural",TV,24,8.38,Action
5690,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,11,8.38,Comedy
329,Planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26,8.38,Sci-Fi
34240,Shelter,"Music, Sci-Fi",Music,1,8.38,Sci-Fi
513,Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1,8.38,Adventure
6945,Gintama: Shiroyasha Koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,1,8.37,Comedy
1142,Hachimitsu to Clover II,"Drama, Josei, Romance",TV,12,8.37,Drama
6811,InuYasha: Kanketsu-hen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,26,8.37,Comedy
16664,Kaguya-hime no Monogatari,"Fantasy, Historical",Movie,1,8.37,Fantasy
1604,Katekyo Hitman Reborn!,"Action, Comedy, Shounen, Super Power",TV,203,8.37,Comedy
22145,Kuroshitsuji: Book of Circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,10,8.37,Comedy
2966,Ookami to Koushinryou,"Adventure, Fantasy, Historical, Romance",TV,13,8.37,Adventure
31964,Boku no Hero Academia,"Action, Comedy, School, Shounen, Super Power",TV,13,8.36,Comedy
19363,Gin no Saji 2nd Season,"Comedy, School, Shounen, Slice of Life",TV,11,8.36,Comedy
18195,Little Busters!: Refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13,8.36,Comedy
9890,Major: Message,"Comedy, Drama, Sports",OVA,1,8.36,Comedy
9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,8.36,Action
9863,SKET Dance,"Comedy, School, Shounen",TV,77,8.36,Comedy
7674,Bakuman.,"Comedy, Romance, Shounen",TV,25,8.35,Comedy
11843,Danshi Koukousei no Nichijou,"Comedy, School, Shounen, Slice of Life",TV,12,8.35,Comedy
16782,Kotonoha no Niwa,"Drama, Psychological, Romance, Slice of Life",Movie,1,8.35,Drama
28675,Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,"Fantasy, Slice of Life, Supernatural",Movie,1,8.35,Fantasy
3226,Major S4,"Comedy, Drama, Shounen, Sports",TV,26,8.35,Comedy
21557,Omoide no Marnie,"Drama, Mystery, Psychological",Movie,1,8.35,Drama
31715,Working!!!: Lord of the Takanashi,"Comedy, Romance, Slice of Life",Special,1,8.34,Comedy
43,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.34,Action
9617,K-On! Movie,"Comedy, Music, Slice of Life",Movie,1,8.34,Comedy
31051,Kuroko no Basket: Saikou no Present Desu,"Action, School, Shounen, Sports",Special,1,8.34,Action
10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,"Action, Comedy, Drama, Magic, Super Power",Movie,1,8.34,Comedy
1033,Sennen Joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,1,8.34,Action
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,"Sci-Fi, Thriller",Special,1,8.34,Sci-Fi
3091,xxxHOLiC Kei,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,13,8.34,Comedy
12115,Berserk: Ougon Jidai-hen III - Kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1,8.33,Action
28223,Death Parade,"Drama, Game, Mystery, Psychological, Thriller",TV,12,8.33,Drama
121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,8.33,Comedy
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,"Game, Psychological, Seinen, Thriller",TV,26,8.33,Seinen
138,Hunter x Hunter: Greed Island,"Action, Adventure, Shounen, Super Power",OVA,8,8.33,Action
6675,Redline,"Action, Cars, Sci-Fi, Sports",Movie,1,8.33,Action
10800,Chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.32,Drama
32005,Detective Conan Movie 20: The Darkest Nightmare,"Action, Mystery, Police, Shounen",Movie,1,8.32,Action
813,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,8.32,Comedy
27821,Fate/stay night: Unlimited Blade Works - Prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1,8.32,Action
28725,Kokoro ga Sakebitagatterunda.,"Drama, Romance, School",Movie,1,8.32,Drama
585,Mimi wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,1,8.32,Adventure
16067,Nagi no Asukara,"Drama, Fantasy, Romance",TV,26,8.32,Fantasy
30,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,8.32,Action
31490,One Piece Film: Gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.32,Comedy
759,Tokyo Godfathers,"Comedy, Drama",Movie,1,8.32,Comedy
6,Trigun,"Action, Comedy, Sci-Fi",TV,26,8.32,Comedy
6864,xxxHOLiC Rou,"Mystery, Supernatural",OVA,2,8.32,Supernatural
9735,Gintama: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.31,Comedy
11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.31,Drama
11123,Sekaiichi Hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.31,Comedy
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy, Drama, Romance, School",TV,13,8.31,Comedy
33161,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,"Comedy, Romance, School",OVA,1,8.31,Comedy
962,Aria The Natural,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,26,8.3,Fantasy
1519,Black Lagoon: The Second Barrage,"Action, Seinen",TV,12,8.3,Action
2167,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,8.3,Comedy
16706,Kami nomi zo Shiru Sekai: Megami-hen,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,8.3,Comedy
5681,Summer Wars,"Comedy, Sci-Fi",Movie,1,8.3,Comedy
3901,Baccano! Specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,3,8.29,Comedy
6467,Detective Conan Movie 14: The Lost Ship in the Sky,"Action, Mystery, Police, Shounen",Movie,1,8.29,Action
10271,Gyakkyou Burai Kaiji: Hakairoku-hen,"Game, Psychological, Seinen, Thriller",TV,26,8.29,Seinen
22507,Initial D Final Stage,"Cars, Seinen, Sports",TV,4,8.29,Seinen
3701,Kaiba,"Adventure, Mystery, Romance, Sci-Fi",TV,12,8.29,Adventure
19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,8.29,Comedy
33255,Saiki Kusuo no Ψ-nan (TV),"Comedy, School, Shounen, Supernatural",TV,120,8.29,Comedy
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,1,8.28,Comedy
265,Hajime no Ippo: Mashiba vs. Kimura,"Comedy, Shounen, Sports",OVA,1,8.28,Comedy
25681,Kamisama Hajimemashita◎,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,12,8.28,Comedy
4722,Skip Beat!,"Comedy, Drama, Romance, Shoujo",TV,25,8.28,Comedy
24277,Yowamushi Pedal: Grande Road,"Comedy, Drama, Shounen, Sports",TV,24,8.28,Comedy
239,Gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24,8.27,Sci-Fi
512,Majo no Takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Movie,1,8.27,Comedy
4477,Nodame Cantabile: Paris-hen,"Comedy, Josei, Music, Romance, Slice of Life",TV,11,8.27,Comedy
15323,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,8.27,Comedy
31174,Osomatsu-san,"Comedy, Parody",TV,25,8.27,Comedy
23327,Space☆Dandy 2nd Season,"Comedy, Sci-Fi, Space",TV,13,8.27,Comedy
5365,Tsumiki no Ie,Drama,Movie,1,8.27,Drama
3702,Detroit Metal City,"Comedy, Music",OVA,12,8.26,Comedy
3167,Eve no Jikan,"Sci-Fi, Slice of Life",ONA,6,8.26,Sci-Fi
7465,Eve no Jikan (Movie),"Sci-Fi, Slice of Life",Movie,1,8.26,Sci-Fi
7054,Kaichou wa Maid-sama!,"Comedy, Romance, School, Shoujo",TV,26,8.26,Comedy
1257,Saint Seiya: Meiou Hades Juuni Kyuu-hen,"Adventure, Sci-Fi, Shounen",OVA,13,8.26,Adventure
23283,Zankyou no Terror,"Psychological, Thriller",TV,11,8.26,Psychological
2025,Darker than Black: Kuro no Keiyakusha,"Action, Mystery, Sci-Fi, Super Power",TV,25,8.25,Action
235,Detective Conan,"Adventure, Comedy, Mystery, Police, Shounen",TV,Unknown,8.25,Comedy
1364,Detective Conan Movie 05: Countdown to Heaven,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,8.25,Comedy
18689,Diamond no Ace,"Comedy, School, Shounen, Sports",TV,75,8.25,Comedy
22043,Fairy Tail (2014),"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,102,8.25,Comedy
31988,Hibike! Euphonium 2,"Drama, Music, School",TV,13,8.25,Drama
